Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20122014","2012-2014","%","25.5"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","27.6"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","29.3"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","30.3"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","19992001","1999-2001","millions","9.3"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20002002","2000-2002","millions","9.8"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20012003","2001-2003","millions","9.6"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20022004","2002-2004","millions","9.2"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20032005","2003-2005","millions","8.7"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20042006","2004-2006","millions","8.3"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20052007","2005-2007","millions","7.8"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20062008","2006-2008","millions","7.2"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20072009","2007-2009","millions","6.7"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20082010","2008-2010","millions","6.4"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20092011","2009-2011","millions","6.4"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20102012","2010-2012","millions","6.6"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","7.2"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","8.1"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20132015","2013-2015","millions","9"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20142016","2014-2016","millions","9.9"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20152017","2015-2017","millions","10.5"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20142016","2014-2016","%","15.4"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20152017","2015-2017","%","16"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210071","Nombre de personnes en situation d’insécurité alimentaire grave (millions) (moyenne sur 3 ans)","20142016","2014-2016","millions","5.2"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210071","Nombre de personnes en situation d’insécurité alimentaire grave (millions) (moyenne sur 3 ans)","20152017","2015-2017","millions","5.5"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2000","2000","pour 100 km carrés de surface totale du pays","1.9"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2001","2001","pour 100 km carrés de surface totale du pays","1.9"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2002","2002","pour 100 km carrés de surface totale du pays","1.9"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2003","2003","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2004","2004","pour 100 km carrés de surface totale du pays","1.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2005","2005","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2006","2006","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2007","2007","pour 100 km carrés de surface totale du pays","2"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2008","2008","pour 100 km carrés de surface totale du pays","2"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2009","2009","pour 100 km carrés de surface totale du pays","1.8"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2010","2010","pour 100 km carrés de surface totale du pays","1.8"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2011","2011","pour 100 km carrés de surface totale du pays","1.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2012","2012","pour 100 km carrés de surface totale du pays","1.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2013","2013","pour 100 km carrés de surface totale du pays","1.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2014","2014","pour 100 km carrés de surface totale du pays","1.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2000","2000","I$","9539"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2001","2001","I$","9661.2"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2002","2002","I$","9879"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2003","2003","I$","10037.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2004","2004","I$","10364.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2005","2005","I$","10783.2"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2006","2006","I$","11262"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2007","2007","I$","11741.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","11989.9"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2009","2009","I$","11676"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2010","2010","I$","11887.8"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2011","2011","I$","12118.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2012","2012","I$","12215.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","12339.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2014","2014","I$","12389.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2015","2015","I$","12377.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2016","2016","I$","12286.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2017","2017","I$","12294.9"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","19992001","1999-2001","%","5"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20002002","2000-2002","%","4.7"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20012003","2001-2003","%","4.6"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20022004","2002-2004","%","4.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20032005","2003-2005","%","4.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20042006","2004-2006","%","4.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20052007","2005-2007","%","4.5"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20062008","2006-2008","%","4.6"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20072009","2007-2009","%","4.6"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20082010","2008-2010","%","4.5"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20092011","2009-2011","%","4.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20102012","2010-2012","%","4.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","4.5"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20122014","2012-2014","%","4.8"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","5.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","5.8"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","6.1"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","19992001","1999-2001","millions","2.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20002002","2000-2002","millions","2.2"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20012003","2001-2003","millions","2.1"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20022004","2002-2004","millions","2.1"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20032005","2003-2005","millions","2.1"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20042006","2004-2006","millions","2.1"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20052007","2005-2007","millions","2.2"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20062008","2006-2008","millions","2.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20072009","2007-2009","millions","2.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20082010","2008-2010","millions","2.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20092011","2009-2011","millions","2.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20102012","2010-2012","millions","2.3"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","2.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","2.6"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20132015","2013-2015","millions","2.9"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20142016","2014-2016","millions","3.2"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20152017","2015-2017","millions","3.4"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20142016","2014-2016","%",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20152017","2015-2017","%",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210071","Nombre de personnes en situation d’insécurité alimentaire grave (millions) (moyenne sur 3 ans)","20142016","2014-2016","millions",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210071","Nombre de personnes en situation d’insécurité alimentaire grave (millions) (moyenne sur 3 ans)","20152017","2015-2017","millions",""
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2001","2001","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2002","2002","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2003","2003","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2004","2004","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2005","2005","pour 100 km carrés de surface totale du pays","1.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2006","2006","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2007","2007","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2008","2008","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2009","2009","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2010","2010","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2011","2011","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2012","2012","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6124","Valeur","21016","Densité du réseau ferroviaire (pour 100 km carrés de surface totale du pays)","2013","2013","pour 100 km carrés de surface totale du pays","1.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2000","2000","I$","5668.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2001","2001","I$","6176.4"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2002","2002","I$","6457.1"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2003","2003","I$","6855.4"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2004","2004","I$","7277.2"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2005","2005","I$","7733"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2006","2006","I$","8204.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2007","2007","I$","8754.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2008","2008","I$","9153.8"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2009","2009","I$","9524.6"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2010","2010","I$","9927.2"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2011","2011","I$","10207.8"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2012","2012","I$","10369.8"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","10492.8"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2014","2014","I$","10701.1"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2015","2015","I$","10970.5"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2016","2016","I$","11356.3"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2017","2017","I$","11803.4"
"FS","Données de la sécurité alimentaire","3","Albanie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","19992001","1999-2001","%","7.2"
"FS","Données de la sécurité alimentaire","3","Albanie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20002002","2000-2002","%","7.8"
